ID,,Organisation,User type,Data supplier,Data,Regio,website,Description,geregistreerd,DA-stakeholder,,,,,
99,,Gemeente IGEMO,Data supplier,infrastructure manager - public,/,/,https://igemo.be/mobiliteit/,Federatie van steden en gemeenten in het arrondissement Mechelen met een onderdeel gefocust op mobiliteit,No (not neccesary),Yes,,,,,
100,,Imec,Research,/,/,/,www.imec.be,Werkt voor Imec aan Vlaam MobiliData-project (https://mobilidata.be/nl/over-mobilidata),No (not neccesary),No,,,,,
101,,IMOB,Research,/,/,/,,"Instituut voor mobiliteit, transportation research institute Uhasselt",No (not neccesary),No,,,,,
102,,Informatie Vlaanderen,Other…,/,/,/,https://overheid.vlaanderen.be/informatie-vlaanderen,Geografische informatie Vlaanderen - ondersteunt andere overheidsdiensten,No (not neccesary),No,,,,,
103,fe150c96-ce8b-4c91-adfd-cbaaff49a664 ,Infrabel,Data supplier,Infrastructure manager - public,Rail - conventional,Belgium - International,www.infrabel.be,Beheerder van de Belgische spoorinfrastructuur,Yes,Yes,,,,,
104,,Ingestic,Other…,/,/,/,www.ingestic.be,Data and IT services - ook betrokken met shared mobility platform mobilitia,No (not neccesary),No,,,,,
105,,Inter Vlaanderen,Other…,/,/,/,www.inter.vlaanderen,Inter ondersteunt het Departement Mobiliteit en Openbare Werken om haar ambitie voor een toegankelijk mobiliteitsnetwerk te bereiken,No (not neccesary),No,,,,,
106,,IntraSoft,Other…,/,/,/,www.infrasoft.be,"Traffic software engineering company specialized in real-time supervision, automation and integration of remote control components of infrastructure equipment such as bridges, locks, tunnels or smart cities",No (not neccesary),No,,,,,
107,02ca0281-43c7-4024-86ce-5d749d0803a1 ,iRail,Data user,/,Rail - conventional,Belgium - International,https://hello.irail.be,non-profit organization providing tools and APIs to anyone who wants to innovate using mobility data,Yes,No,,,,,
108,793b404d-9092-45dc-a077-929f615cd7b8 ,ITS.be,Federation/network,/,/,/,www.its.be, a public-private not-for-profit that seeks to accelerate the transition to sustainable mobility in Belgium,Yes,No,,,,,
109,,Jump,Data supplier,Demand responsive transport - private,Bike/Step/Scooter sharing,Brussels ,,Deelfietsen van Uber -> nu Lime,No (not neccesary),No,,,,,
110,,Kapsch TrafficCom,Consultancy,/,/,/,https://www.kapsch.net/,Taxatie en vervoersspecialist,No (not neccesary),No,,,,,
111,,Kenis share,Data supplier,Demand responsive transport - private,Car-hire,Flanders Local,https://www.groepkenis.be/carsharing,heet carsharing maar in feite autoverhuur voor korte periodes,No,Yes,,,,,
112,,Keolis,Data supplier B2B,/,/,/,https://mercichauffeur.keolis.be/,"Buschauffeurs voor bedrijven, eigen diensten en derden",No (not neccesary),No,,,,,
113,,Kowo,Data user,Demand responsive transport - private,carpooling,Brussels ,,"Kowo is the carpooling app for colleagues. It organizes everything for companies, facilitate fiscal deduction and comes with a destination insurance.",No (not neccesary),No,,,,,
114,,Krautli,Other…,/,/,/,https://www.krautli.be,Producten voor vervoer (e.g. alcoholslot),No (not neccesary),No,,,,,
115,,KU Leuven,Research,/,/,/,,Interested in traffic modelling and the planning and development of urban mobility,No (not neccesary),No,,,,,
116,,Lab box,Other…,/,/,/,https://www.lab-box.com/,Incubator for mobility solutions,No (not neccesary),No,,,,,
117,,Liege Airport,Data supplier,Organised transport - private,Air,Belgium - International,https://www.liegeairport.com,,No,Yes,,,,,
118,,Lime,Data supplier,Demand responsive transport - private,Bike/Step/Scooter sharing,Belgium - International,https://www.li.me,Stepdelen Brussel en Antwerpen app,No,Yes,,,,,
119,,Localyse,Consultancy,/,/,/,https://localyse.eu,Traffic information service (Google Maps retailer),No (not neccesary),No,,,,,
120,,Logistics in Wallonia,Federation/network,/,/,/,https://www.logisticsinwallonia.be,Federatie voor goederenvervoer in Wallonie,No (not neccesary),No,,,,,
121,bbed25ec-4a6d-4e5c-a458-2780a4e3c981 ,Luchthaven Antwerpen ,Data supplier,Organised transport - private,Air,Belgium - International,https://www.luchthaven-antwerpen.com,Luchthaven Antwerpen,Yes,Yes,,,,,
122,58da9ab1-d919-4d0f-9a92-bc9fe4d5fc50 ,Luchthaven Oostende,Data supplier,Organised transport - private,Air,Belgium - International,https://www.ostendbruges-airport.com,Ostend-Bruges International Airport is part of the French corporation Egis and consists of a new structure LOM-LEM.,Yes,Yes,,,,,
123,,Luxaviation,Data supplier,Demand responsive transport - private,Air,Belgium - International,https://www.luxaviation.com,Business aviation (vroegere Sky Services/Abelag) (ook empty legs),No (not neccesary),Yes,,,,,
124,,MaaS Global,Other…,/,/,/,https://maas.global/,"MaaS Global is bringing into reality the concept of Mobility-as-a-Service (MaaS), by building the world's first mobility ecosystem. MaaS Global aspires to upgrade the service level of transportation by joining together public and private transportation providers. Collaboration and integration of services will create a seamless and compelling travel experience for everyone, locally and globally.   ",No (not neccesary),No,,,,,
125,,Macq,Consultancy,/,/,/,https://macq.eu/,Producent van software/hardware voor Smart mobility & ITS,No (not neccesary),No,,,,,
